Lake,Code,Maori.Depth,European.Depth,euroPct,maoriPct,euroFluxPct,maoriFluxPct
Kohangapiripiri,3,54.94,17.94,204.242757031743,18.365743882453756,198.040502064951,18.365743882453756
Kohangatera,4,82.76,12.76,90.509504804953,68.07265224364915,-11.881297197515707,68.07265224364915
Nganoke,195,62.28,51.28,125.46757570291084,26.607245392870155,456.9353218711593,26.607245392870155
Pounui,229,40.9,19.4,184.64096653447518,69.03756794131883,305.0392237727738,69.0375679413188
Waiorongomai,841,70.8,37.8,92.71473285702024,100.51206543094625,208.6702077116679,100.5120654309462
Rototawai,1744,76.61,26.61,-1.0306524378374746,-31.696200035769536,3.1291347851120292,-31.69620003576952
Rotokare,7512,89.49,50.33,22.764664883252422,16.27839676508738,107.13193374368407,16.27839676508738
McKay,8138,30.73,4.73,200.46512354345725,22.857197128113143,38.74390182498078,22.857197128113157
Dudding,13447,91.2,40.2,52.23055989970669,11.010438970651947,101.30488513053325,11.010438970651975
Rotokotuku,13736,18.79,6.79,22.679870744988406,59.21654144125429,32.995687444141254,59.216541441254265
Rotomanuka,14428,44.2,34.2,107.10286770587624,88.02056921872108,380.7410458511969,88.02056921872108
Lake B,15038,38.62,33.62,60.4728103533582,42.42303554308623,319.0908247602203,42.42303554308623
Kawau,16722,78.63,63.63,108.93257085708717,-3.308492211535537,407.22546675453873,-3.308492211535551
Oporoa,17286,40.7,30.7,10.508614639422248,-11.425787334974373,150.0698626115673,-11.425787334974373
Wiritoa,18934,90.06,42.06,42.1153938908588,-22.338225560026544,99.11304020817863,-22.338225560026544
Tomarata,21871,Inf,25.3,NA,NA,NA,NA
Taharoa,21917,14.4,10.4,89.10763634051929,25.391460560992797,309.73321207112514,25.39146056099281
Spectacle,22999,Inf,36.6,NA,NA,NA,NA
Ngatu,23691,16.27,4.27,NA,NA,NA,NA
Waiporohita,24415,45.6,29.6,572.4272481160505,67.30280543964798,1209.4635884365193,67.30280543964798
Wahakari,24620,24,14,-57.87705624575864,-48.28213180452724,-26.284848430077616,-48.28213180452724
Morehurehu,24628,26.4,16.4,15.986146263888145,30.144625933502624,116.15599985542792,30.144625933502624
Te Kahika,24633,45.5,20.5,36.66296096968833,50.64686597823055,84.72026592606224,50.64686597823052
Peel,24701,27.15,4.15,50.48117983858043,32.0994410474689,-30.994818085070847,32.0994410474689
Lockett,24960,8.7,4.7,-4.579216697449212,-15.463434176411965,54.64747638689266,-15.463434176411965
Otuhie,25519,63.01,21.01,45.09598629879753,20.203406286735742,45.14204120636742,20.203406286735756
Mangarakau,25748,53.36,7.36,19.216303895237743,2.227764405679494,-50.66911562955679,2.227764405679494
West Kaihoka Lake,25789,57.85,22.85,38.411514895980105,21.71102182501747,64.01226181710351,21.71102182501747
East Kaihoka Lake,25790,102.2,37.2,-20.797062509604416,11.216232526758077,-13.51225221205334,11.216232526758077
Rotorua,25994,107.27,35.84,35.50769051106414,-33.91573462491928,35.82350036123444,-33.91573462491928
Horseshoe,26277,75.02,27.02,-6.185224862729626,-19.802978014530865,1.3679775076931122,-19.802978014530865
McRae,27286,61.29,31.29,-10.447682537535712,13.152661283394522,37.155752001982705,13.152661283394494
Hay,29073,61.6,44.1,5.478091950348585,0.4980863349169482,126.5381747569987,0.4980863349169624
Bright,29614,27,8.4,23.917890690869356,13.403309870539331,15.656697978144734,13.403309870539303
Whakaki,34665,37.01,25.01,87.2337275500741,21.564723535313917,279.5770488538789,21.564723535313917
Horseshoe,35422,59.21,34.21,35.80303516240852,-39.967727039736545,135.39039855966877,-39.96772703973656
Kaweka 1,36742,51.2,17.2,-34.15529561555705,-60.37881118013289,-33.64088386255359,-60.378811180132885
Kaurapataka,39050,67,37.2,-58.35131228695282,28.464436313302258,-30.626961958566184,28.464436313302258
Mason,39297,70.8,15.8,-32.49290100852036,-35.16681898304155,-54.80456931926364,-35.16681898304154
Katrine,39364,92.3,42.4,-9.216700043972253,-1.4805247785371307,25.10981315716934,-1.4805247785371165
Marion,39367,62.67,22.67,127.43653808479758,65.79483889633454,146.81600375214745,65.79483889633454
Emma,41299,19.16,7.16,225.01224259314347,93.32117449140875,264.366543366426,93.32117449140875
Camp,41306,15.4,4.3,262.3441266105249,304.65675365762183,203.52202813479033,304.65675365762195
Vincent,43649,28.19,4.19,-30.842913642722223,-42.39100173756448,-69.16266138662711,-42.39100173756448
Waihola,44391,46.7,31.7,-28.172216251971733,-49.56483812006316,46.270283392665675,-49.56483812006315
Tomohawk Lagoon 2,44747,88.49,40.49,NA,NA,NA,NA
45434,45434,11.4,5.7,63.960591219626735,31.068110648337694,145.9408868294401,31.068110648337722
Greaney,46138,32,8.5,74.05271620218596,-29.040840428367645,38.69825822361693,-29.040840428367645
Duncan Stream 1,46493,11.6,3.1,-19.434462433751293,-13.846759785143433,-35.40866384774888,-13.84675978514342
Duncan Stream 2,46496,13.1,3.7,55.445482677840715,3.7247660136524843,31.713347917865036,3.7247660136524843
Alpine,46954,16.6,4.3,87.03310580384013,71.05098424463236,45.34500390780346,71.05098424463236
Hartley Tarn,47225,44.72,34.72,65.38338911677815,2.4671574382430634,285.20424441868545,2.4671574382430634
Forsyth,47579,29.49,14.49,146.18537309659817,24.940323601088025,262.8917656327272,24.940323601088025
Emily,47860,73.42,28.42,396.9260951336649,122.68176975813304,477.0623654466941,122.68176975813304
Heron,47892,90.59,23.39,247.26945159660613,142.9505993268752,168.99103011959215,142.9505993268752
Pearson,48660,27.16,19.16,68.35582028157023,158.86824656821307,256.29943114081954,158.86824656821307
Kereta,49884,76.61,45.61,219.8246419965605,66.95596381871033,471.22576379571035,66.95596381871036
Pupuke,50151,88.98,37.98,-28.38422809278184,-31.576530198677133,-8.295110686576365,-31.576530198677133
Kahuparere,50371,39.21,6.21,17.984197615005897,2.376915024356066,-43.94170870778985,2.37691502435608
Richter,51958,26.1,5.1,48.846568824991664,22.020842649956833,-12.745114826729036,22.020842649956833
Thomas,52115,44.21,19.21,50.09049903456574,-34.54312767470486,95.65065504098675,-34.54312767470486
Blue,53304,27.89,9.89,51.00002006550096,37.60801725889519,60.63716727656555,37.60801725889519
Skeleton,53315,50.31,10.31,203.99764592432012,98.52180321003496,86.89419973045557,98.52180321003493
South.Mavora,53338,35.34,10.34,-27.75429543692283,-10.558619982138225,-36.58568886398829,-10.55861998213824
Moke,53549,41.37,11.37,75.08644392927147,14.952310821563984,44.36061403015347,14.95231082156397
Harris,54088,73.09,13.09,85.72804706566433,4.5645078570102555,-0.21151445794721724,4.5645078570102555
54655,54655,53.95,18.95,192.27671776826327,53.32714737759912,207.98760713856848,53.32714737759915
Killarney,L380.3,86.79,31.79,NA,NA,NA,NA
Moawhitu,L380.1,67.4,35.4,NA,NA,NA,NA
Pauri,18933,37.78,12.78,-5.428810700326991,-17.082577964681562,-4.0270143528464075,-17.082577964681562
Haupiri,39225,71.2,23.7,16.75052984797074,41.55485805200894,16.58655438470109,41.55485805200894
Tomohawk Lagoon 1,44746,72.82,22.82,62.15020754128585,124.80995891893011,52.44168097056345,124.80995891893016
Alexandrina,47193,81.86,49.86,NA,NA,NA,NA
Rotorua,11133,423.9,134.2,NA,NA,NA,NA
Okareka,15325,243.22,80.25,NA,NA,NA,NA
Tennyson,26477,320.65,27.1,NA,NA,NA,NA
Rotoiti,27762,84.58,34.08,NA,NA,NA,NA
Opouahi,32478,178.02,56.97,NA,NA,NA,NA
Tutira,36981,442.91,184.7,NA,NA,NA,NA
Rotonuiaha,37534,293.1,115.18,NA,NA,NA,NA
Kaniere,38502,104.2,29.8,NA,NA,NA,NA
Waihau,40590,263.44,86.99,NA,NA,NA,NA
Ohau,45514,282.6,81.15,NA,NA,NA,NA
Moeraki,46723,493.8,244.9,NA,NA,NA,NA
Paringa,46725,Inf,85.6,NA,NA,NA,NA
Okataina,54731,135.18,54.52,NA,NA,NA,NA
Karere,4509,Inf,80.42,NA,NA,NA,NA
Moumahaki,16131,Inf,293.8,NA,NA,NA,NA
Onoke,1,Inf,40.65,NA,NA,NA,NA
Taharoa,12876,Inf,43.01,NA,NA,NA,NA
Alice,13456,Inf,43.87,NA,NA,NA,NA
Tutaeinanga,14071,Inf,Inf,NA,NA,NA,NA
Ngahewa,14208,Inf,Inf,NA,NA,NA,NA
Okaro,14290,Inf,Inf,NA,NA,NA,NA
Kaikura,15795,Inf,48.54,NA,NA,NA,NA
Westmere,18951,Inf,38.39,NA,NA,NA,NA
Ngakeketo,21433,Inf,86.99,NA,NA,NA,NA
Chalice,25044,Inf,56.07,NA,NA,NA,NA
Mata Kopae Lagoon,25972,Inf,11.97,NA,NA,NA,NA
Elterwater,27936,Inf,21.96,NA,NA,NA,NA
Rotoehu,40188,Inf,42.43,NA,NA,NA,NA
Karangata,40534,Inf,49.6,NA,NA,NA,NA
Eggeling,41679,Inf,79.8,NA,NA,NA,NA
Tuakitoto,44599,39.25,9.25,NA,NA,NA,NA
Douglas,46212,Inf,35.33,NA,NA,NA,NA
Ianthe,47491,Inf,57.24,NA,NA,NA,NA
Kuwakatai,50269,Inf,42.51,NA,NA,NA,NA
Rototoa,50270,Inf,22.23,NA,NA,NA,NA
Norma,52167,Inf,66.49,NA,NA,NA,NA
Rototai,L380.2,Inf,42.62,NA,NA,NA,NA
Waipu,16939,Inf,108.83,NA,NA,NA,NA
Voss,4506,Inf,Inf,NA,NA,NA,NA
Waikare,16222,Inf,25.58,NA,NA,NA,NA
Ngapouri,14179,Inf,Inf,NA,NA,NA,NA
Kapoai,21759,Inf,61.39,NA,NA,NA,NA
Heaton,13466,Inf,68.95,NA,NA,NA,NA
William,13437,85.51,47.51,NA,NA,NA,NA
